iteration,camera1_pose,camera3_pose
0,"[0.243662, 0.044932, 0.341945, 3.104405, 0.005935, 3.118526]","[0.143110, 0.185489, 0.505042, -0.424375, -0.369180, 1.907406]"
1,"[0.243707, 0.044952, 0.342003, 3.104255, 0.005528, 3.118866]","[0.143136, 0.185523, 0.505051, -0.424763, -0.368934, 1.907681]"
2,"[0.243708, 0.044945, 0.342032, 3.104423, 0.005469, 3.118227]","[0.143136, 0.185523, 0.505051, -0.424763, -0.368934, 1.907681]"
3,"[0.243708, 0.044945, 0.342032, 3.104423, 0.005469, 3.118227]","[0.143154, 0.185508, 0.505110, -0.424701, -0.368955, 1.907922]"
4,"[0.243683, 0.044931, 0.342005, 3.104646, 0.005503, 3.119069]","[0.143154, 0.185508, 0.505110, -0.424701, -0.368955, 1.907922]"
5,"[0.243683, 0.044931, 0.342005, 3.104646, 0.005503, 3.119069]","[0.143121, 0.185517, 0.505118, -0.424383, -0.369641, 1.908396]"
6,"[0.243611, 0.044917, 0.341865, 3.104590, 0.006775, 3.118858]","[0.143121, 0.185517, 0.505118, -0.424383, -0.369641, 1.908396]"
7,"[0.243656, 0.044929, 0.341910, 3.104708, 0.006480, 3.119130]","[0.143211, 0.185586, 0.505318, -0.424519, -0.369435, 1.908576]"
8,"[0.243656, 0.044929, 0.341910, 3.104708, 0.006480, 3.119130]","[0.143086, 0.185413, 0.504960, -0.424893, -0.369822, 1.907607]"
9,"[0.243669, 0.044948, 0.341975, 3.104284, 0.006557, 3.118547]","[0.143086, 0.185413, 0.504960, -0.424893, -0.369822, 1.907607]"
10,"[0.243669, 0.044948, 0.341975, 3.104284, 0.006557, 3.118547]","[0.143086, 0.185413, 0.504960, -0.424893, -0.369822, 1.907607]"
11,"[0.243669, 0.044948, 0.341975, 3.104284, 0.006557, 3.118547]","[0.143147, 0.185512, 0.505092, -0.425431, -0.368705, 1.907746]"
12,"[0.243657, 0.044928, 0.341937, 3.104713, 0.006573, 3.119309]","[0.143147, 0.185512, 0.505092, -0.425431, -0.368705, 1.907746]"
13,"[0.243657, 0.044928, 0.341937, 3.104713, 0.006573, 3.119309]","[0.143147, 0.185512, 0.505092, -0.425431, -0.368705, 1.907746]"
14,"[0.243657, 0.044928, 0.341937, 3.104713, 0.006573, 3.119309]","[0.143066, 0.185445, 0.504778, -0.424310, -0.368432, 1.906702]"
15,"[0.243693, 0.044914, 0.341966, 3.104564, 0.005909, 3.118654]","[0.143066, 0.185445, 0.504778, -0.424310, -0.368432, 1.906702]"
16,"[0.243693, 0.044914, 0.341966, 3.104564, 0.005909, 3.118654]","[0.143066, 0.185445, 0.504778, -0.424310, -0.368432, 1.906702]"
17,"[0.243693, 0.044914, 0.341966, 3.104564, 0.005909, 3.118654]","[0.142997, 0.185374, 0.504687, -0.424514, -0.368633, 1.906856]"
18,"[0.243642, 0.044944, 0.341913, 3.104375, 0.006800, 3.118778]","[0.142997, 0.185374, 0.504687, -0.424514, -0.368633, 1.906856]"
19,"[0.243642, 0.044944, 0.341913, 3.104375, 0.006800, 3.118778]","[0.142997, 0.185374, 0.504687, -0.424514, -0.368633, 1.906856]"
20,"[0.243642, 0.044944, 0.341913, 3.104375, 0.006800, 3.118778]","[0.143123, 0.185519, 0.505036, -0.424746, -0.370480, 1.908121]"
21,"[0.243678, 0.044941, 0.341982, 3.104391, 0.006646, 3.118933]","[0.143123, 0.185519, 0.505036, -0.424746, -0.370480, 1.908121]"
22,"[0.243678, 0.044941, 0.341982, 3.104391, 0.006646, 3.118933]","[0.143123, 0.185519, 0.505036, -0.424746, -0.370480, 1.908121]"
23,"[0.243678, 0.044941, 0.341982, 3.104391, 0.006646, 3.118933]","[0.143101, 0.185440, 0.504905, -0.424531, -0.368093, 1.907265]"
24,"[0.243646, 0.044946, 0.341969, 3.104010, 0.006645, 3.119160]","[0.143101, 0.185440, 0.504905, -0.424531, -0.368093, 1.907265]"
25,"[0.243646, 0.044946, 0.341969, 3.104010, 0.006645, 3.119160]","[0.143101, 0.185440, 0.504905, -0.424531, -0.368093, 1.907265]"
26,"[0.243646, 0.044946, 0.341969, 3.104010, 0.006645, 3.119160]","[0.143063, 0.185441, 0.504858, -0.424598, -0.368654, 1.907482]"
27,"[0.243678, 0.044942, 0.341965, 3.104249, 0.006681, 3.118397]","[0.143063, 0.185441, 0.504858, -0.424598, -0.368654, 1.907482]"
28,"[0.243678, 0.044942, 0.341965, 3.104249, 0.006681, 3.118397]","[0.143063, 0.185441, 0.504858, -0.424598, -0.368654, 1.907482]"
29,"[0.243678, 0.044942, 0.341965, 3.104249, 0.006681, 3.118397]","[0.143172, 0.185629, 0.505279, -0.424930, -0.369630, 1.909482]"
30,"[0.243663, 0.044941, 0.341952, 3.104562, 0.006222, 3.118626]","[0.143172, 0.185629, 0.505279, -0.424930, -0.369630, 1.909482]"
31,"[0.243663, 0.044941, 0.341952, 3.104562, 0.006222, 3.118626]","[0.143172, 0.185480, 0.505104, -0.424562, -0.369470, 1.908345]"
32,"[0.243683, 0.044943, 0.341973, 3.104495, 0.006086, 3.118867]","[0.143172, 0.185480, 0.505104, -0.424562, -0.369470, 1.908345]"
33,"[0.243683, 0.044943, 0.341973, 3.104495, 0.006086, 3.118867]","[0.143172, 0.185480, 0.505104, -0.424562, -0.369470, 1.908345]"
34,"[0.243683, 0.044943, 0.341973, 3.104495, 0.006086, 3.118867]","[0.143042, 0.185384, 0.504780, -0.425545, -0.369757, 1.907177]"
35,"[0.243643, 0.044935, 0.341959, 3.104212, 0.006609, 3.119233]","[0.143042, 0.185384, 0.504780, -0.425545, -0.369757, 1.907177]"
36,"[0.243643, 0.044935, 0.341959, 3.104212, 0.006609, 3.119233]","[0.143139, 0.185482, 0.505030, -0.424685, -0.368175, 1.907401]"
